run_id,chan_id,num_train_values,num_test_values,n_predicted_anoms,normalized_pred_error,anom_scores,false_positives,false_negatives,true_positives,fp_sequences,tp_sequences,num_true_anoms,scores,spacecraft,anomaly_sequences,class
2024-03-11_11.04.26,E-9,2620,8042,1,0.05015087373578019,"[{'start_idx': 5460, 'end_idx': 5529, 'score': 2.7393480666657273}, {'start_idx': 5530, 'end_idx': 5599, 'score': 2.9202394929625424}, {'start_idx': 5600, 'end_idx': 5669, 'score': 3.090226472578563}]",0,0,1,[],"[(5710, 5919)]",1,"[{'start_idx': 5460, 'end_idx': 5529, 'score': 2.7393480666657273}, {'start_idx': 5530, 'end_idx': 5599, 'score': 2.9202394929625424}, {'start_idx': 5600, 'end_idx': 5669, 'score': 3.090226472578563}]",SMAP,"[[5550, 5900]]",[point]
2024-03-11_11.04.26,E-10,2620,8245,3,0.087116923937441,"[{'start_idx': 1525, 'end_idx': 1748, 'score': 3.5463149163710583}, {'start_idx': 4760, 'end_idx': 4829, 'score': 6.7106801217024135}, {'start_idx': 4830, 'end_idx': 4899, 'score': 5.004150783532373}, {'start_idx': 5320, 'end_idx': 5389, 'score': 7.404431258326928}, {'start_idx': 5390, 'end_idx': 5459, 'score': 11.20835743088919}, {'start_idx': 5460, 'end_idx': 5529, 'score': 10.679038846969895}, {'start_idx': 5530, 'end_idx': 5599, 'score': 9.999443638899239}, {'start_idx': 5600, 'end_idx': 5669, 'score': 9.476721774095381}, {'start_idx': 5670, 'end_idx': 5714, 'score': 7.770813288817794}]",1,0,2,"[[1775, 1998]]","[(5010, 5149), (5570, 5964)]",2,"[{'start_idx': 1525, 'end_idx': 1748, 'score': 3.5463149163710583}, {'start_idx': 4760, 'end_idx': 4829, 'score': 6.7106801217024135}, {'start_idx': 4830, 'end_idx': 4899, 'score': 5.004150783532373}, {'start_idx': 5320, 'end_idx': 5389, 'score': 7.404431258326928}, {'start_idx': 5390, 'end_idx': 5459, 'score': 11.20835743088919}, {'start_idx': 5460, 'end_idx': 5529, 'score': 10.679038846969895}, {'start_idx': 5530, 'end_idx': 5599, 'score': 9.999443638899239}, {'start_idx': 5600, 'end_idx': 5669, 'score': 9.476721774095381}, {'start_idx': 5670, 'end_idx': 5714, 'score': 7.770813288817794}]",SMAP,"[[5000, 5050], [5601, 5871]]","[contextual, contextual]"
2024-03-11_11.04.26,E-11,2620,8254,3,0.08489708015571278,"[{'start_idx': 1469, 'end_idx': 1768, 'score': 4.109525174073628}, {'start_idx': 4760, 'end_idx': 4829, 'score': 5.710687748548007}, {'start_idx': 4830, 'end_idx': 4899, 'score': 4.3598074737569155}, {'start_idx': 5320, 'end_idx': 5389, 'score': 6.6638124210413885}, {'start_idx': 5390, 'end_idx': 5459, 'score': 10.786335374227868}, {'start_idx': 5460, 'end_idx': 5529, 'score': 10.443049650068705}, {'start_idx': 5530, 'end_idx': 5599, 'score': 9.824776362244798}, {'start_idx': 5600, 'end_idx': 5669, 'score': 9.21670048885426}, {'start_idx': 5670, 'end_idx': 5714, 'score': 7.628655354262445}]",1,0,2,"[[1719, 2018]]","[(5010, 5149), (5570, 5964)]",2,"[{'start_idx': 1469, 'end_idx': 1768, 'score': 4.109525174073628}, {'start_idx': 4760, 'end_idx': 4829, 'score': 5.710687748548007}, {'start_idx': 4830, 'end_idx': 4899, 'score': 4.3598074737569155}, {'start_idx': 5320, 'end_idx': 5389, 'score': 6.6638124210413885}, {'start_idx': 5390, 'end_idx': 5459, 'score': 10.786335374227868}, {'start_idx': 5460, 'end_idx': 5529, 'score': 10.443049650068705}, {'start_idx': 5530, 'end_idx': 5599, 'score': 9.824776362244798}, {'start_idx': 5600, 'end_idx': 5669, 'score': 9.21670048885426}, {'start_idx': 5670, 'end_idx': 5714, 'score': 7.628655354262445}]",SMAP,"[[5000, 5050], [5614, 5857]]","[contextual, contextual]"
2024-03-11_11.04.26,E-12,2620,8252,4,0.06962491039875916,"[{'start_idx': 1525, 'end_idx': 1747, 'score': 2.6424504815253727}, {'start_idx': 4760, 'end_idx': 4829, 'score': 7.053470860502662}, {'start_idx': 4830, 'end_idx': 4899, 'score': 5.277314197463852}, {'start_idx': 5320, 'end_idx': 5389, 'score': 6.842344244357107}, {'start_idx': 5390, 'end_idx': 5459, 'score': 6.2547947742383885}, {'start_idx': 5460, 'end_idx': 5518, 'score': 5.120593463199193}, {'start_idx': 5740, 'end_idx': 5809, 'score': 5.8728753331175545}, {'start_idx': 5810, 'end_idx': 5879, 'score': 6.178732246108633}, {'start_idx': 5880, 'end_idx': 5949, 'score': 6.6385134350935715}, {'start_idx': 5950, 'end_idx': 6019, 'score': 5.935974317692797}, {'start_idx': 6020, 'end_idx': 6089, 'score': 6.405278688166476}, {'start_idx': 6090, 'end_idx': 6159, 'score': 6.670473417258643}, {'start_idx': 6160, 'end_idx': 6229, 'score': 6.757327901340701}, {'start_idx': 6230, 'end_idx': 6299, 'score': 6.284954296646912}]",1,0,2,"[[1775, 1997]]","[(5010, 5149), (5570, 5768), (5990, 6549)]",2,"[{'start_idx': 1525, 'end_idx': 1747, 'score': 2.6424504815253727}, {'start_idx': 4760, 'end_idx': 4829, 'score': 7.053470860502662}, {'start_idx': 4830, 'end_idx': 4899, 'score': 5.277314197463852}, {'start_idx': 5320, 'end_idx': 5389, 'score': 6.842344244357107}, {'start_idx': 5390, 'end_idx': 5459, 'score': 6.2547947742383885}, {'start_idx': 5460, 'end_idx': 5518, 'score': 5.120593463199193}, {'start_idx': 5740, 'end_idx': 5809, 'score': 5.8728753331175545}, {'start_idx': 5810, 'end_idx': 5879, 'score': 6.178732246108633}, {'start_idx': 5880, 'end_idx': 5949, 'score': 6.6385134350935715}, {'start_idx': 5950, 'end_idx': 6019, 'score': 5.935974317692797}, {'start_idx': 6020, 'end_idx': 6089, 'score': 6.405278688166476}, {'start_idx': 6090, 'end_idx': 6159, 'score': 6.670473417258643}, {'start_idx': 6160, 'end_idx': 6229, 'score': 6.757327901340701}, {'start_idx': 6230, 'end_idx': 6299, 'score': 6.284954296646912}]",SMAP,"[[5610, 6141], [5000, 5050]]","[contextual, contextual]"
2024-03-11_11.04.26,E-13,2620,8380,2,0.05456894340780438,"[{'start_idx': 5320, 'end_idx': 5389, 'score': 3.5808340879508447}, {'start_idx': 5390, 'end_idx': 5459, 'score': 4.020378620486908}, {'start_idx': 6230, 'end_idx': 6299, 'score': 4.22349730916991}]",0,1,2,[],"[(5570, 5709), (6480, 6549)]",3,"[{'start_idx': 5320, 'end_idx': 5389, 'score': 3.5808340879508447}, {'start_idx': 5390, 'end_idx': 5459, 'score': 4.020378620486908}, {'start_idx': 6230, 'end_idx': 6299, 'score': 4.22349730916991}]",SMAP,"[[5309, 5410], [5600, 5640], [6449, 6569]]","[contextual, contextual, contextual]"
2024-03-11_11.04.26,A-1,2620,8380,1,0.007842372215590785,"[{'start_idx': 4480, 'end_idx': 4549, 'score': 4.863247035568101}, {'start_idx': 4550, 'end_idx': 4619, 'score': 4.054302135715486}]",0,0,1,[],"[(4730, 4869)]",1,"[{'start_idx': 4480, 'end_idx': 4549, 'score': 4.863247035568101}, {'start_idx': 4550, 'end_idx': 4619, 'score': 4.054302135715486}]",SMAP,"[[4690, 4774]]",[point]
2024-03-11_11.04.26,D-1,2589,8249,1,0.06318062940837016,"[{'start_idx': 4970, 'end_idx': 5039, 'score': 2.613846838054956}, {'start_idx': 5040, 'end_idx': 5109, 'score': 3.066116528015324}, {'start_idx': 5110, 'end_idx': 5179, 'score': 3.4616165407666935}, {'start_idx': 5180, 'end_idx': 5249, 'score': 3.7530624009969986}, {'start_idx': 5250, 'end_idx': 5319, 'score': 3.8747137631759485}, {'start_idx': 5320, 'end_idx': 5389, 'score': 7.6666049361937265}, {'start_idx': 5390, 'end_idx': 5459, 'score': 8.249727175785665}, {'start_idx': 5460, 'end_idx': 5529, 'score': 8.434847120324102}, {'start_idx': 5530, 'end_idx': 5599, 'score': 8.40343387925702}, {'start_idx': 5600, 'end_idx': 5669, 'score': 8.038242690715913}]",0,0,1,[],"[(5220, 5919)]",1,"[{'start_idx': 4970, 'end_idx': 5039, 'score': 2.613846838054956}, {'start_idx': 5040, 'end_idx': 5109, 'score': 3.066116528015324}, {'start_idx': 5110, 'end_idx': 5179, 'score': 3.4616165407666935}, {'start_idx': 5180, 'end_idx': 5249, 'score': 3.7530624009969986}, {'start_idx': 5250, 'end_idx': 5319, 'score': 3.8747137631759485}, {'start_idx': 5320, 'end_idx': 5389, 'score': 7.6666049361937265}, {'start_idx': 5390, 'end_idx': 5459, 'score': 8.249727175785665}, {'start_idx': 5460, 'end_idx': 5529, 'score': 8.434847120324102}, {'start_idx': 5530, 'end_idx': 5599, 'score': 8.40343387925702}, {'start_idx': 5600, 'end_idx': 5669, 'score': 8.038242690715913}]",SMAP,"[[5250, 8508]]",[point]
2024-03-11_11.04.26,P-2,2561,7949,1,0.05579983246531922,"[{'start_idx': 5040, 'end_idx': 5109, 'score': 11.391130289285991}, {'start_idx': 5110, 'end_idx': 5179, 'score': 13.285191071679796}, {'start_idx': 5180, 'end_idx': 5249, 'score': 12.0921821497665}, {'start_idx': 5250, 'end_idx': 5319, 'score': 10.967181412009799}, {'start_idx': 5320, 'end_idx': 5389, 'score': 10.32042108497174}, {'start_idx': 5390, 'end_idx': 5459, 'score': 9.798614123831912}, {'start_idx': 5460, 'end_idx': 5502, 'score': 9.178133588764494}]",0,0,1,[],"[(5290, 5752)]",1,"[{'start_idx': 5040, 'end_idx': 5109, 'score': 11.391130289285991}, {'start_idx': 5110, 'end_idx': 5179, 'score': 13.285191071679796}, {'start_idx': 5180, 'end_idx': 5249, 'score': 12.0921821497665}, {'start_idx': 5250, 'end_idx': 5319, 'score': 10.967181412009799}, {'start_idx': 5320, 'end_idx': 5389, 'score': 10.32042108497174}, {'start_idx': 5390, 'end_idx': 5459, 'score': 9.798614123831912}, {'start_idx': 5460, 'end_idx': 5502, 'score': 9.178133588764494}]",SMAP,"[[5350, 6575]]",[point]
2024-03-11_11.04.26,P-3,2595,8233,2,0.03623428238078276,"[{'start_idx': 5110, 'end_idx': 5179, 'score': 3.695409421979325}, {'start_idx': 5180, 'end_idx': 5249, 'score': 7.357289662727393}, {'start_idx': 5250, 'end_idx': 5319, 'score': 7.728654495562151}, {'start_idx': 5320, 'end_idx': 5389, 'score': 6.654830255511908}, {'start_idx': 5390, 'end_idx': 5424, 'score': 5.6107584709858696}, {'start_idx': 5530, 'end_idx': 5599, 'score': 8.049295036387969}, {'start_idx': 5600, 'end_idx': 5669, 'score': 8.359342851041449}, {'start_idx': 5670, 'end_idx': 5739, 'score': 8.152063919493306}, {'start_idx': 5740, 'end_idx': 5809, 'score': 7.538044995984125}]",0,0,1,[],"[(5360, 5674), (5780, 6059)]",1,"[{'start_idx': 5110, 'end_idx': 5179, 'score': 3.695409421979325}, {'start_idx': 5180, 'end_idx': 5249, 'score': 7.357289662727393}, {'start_idx': 5250, 'end_idx': 5319, 'score': 7.728654495562151}, {'start_idx': 5320, 'end_idx': 5389, 'score': 6.654830255511908}, {'start_idx': 5390, 'end_idx': 5424, 'score': 5.6107584709858696}, {'start_idx': 5530, 'end_idx': 5599, 'score': 8.049295036387969}, {'start_idx': 5600, 'end_idx': 5669, 'score': 8.359342851041449}, {'start_idx': 5670, 'end_idx': 5739, 'score': 8.152063919493306}, {'start_idx': 5740, 'end_idx': 5809, 'score': 7.538044995984125}]",SMAP,"[[5401, 6736]]",[point]
2024-03-11_11.04.26,D-2,2620,8335,2,0.3591351985064322,"[{'start_idx': 4410, 'end_idx': 4479, 'score': 16.08998929749177}, {'start_idx': 4480, 'end_idx': 4549, 'score': 14.2971400096497}, {'start_idx': 4550, 'end_idx': 4619, 'score': 12.328206661211704}, {'start_idx': 4620, 'end_idx': 4689, 'score': 11.237919705443707}, {'start_idx': 4690, 'end_idx': 4759, 'score': 10.412056019000179}, {'start_idx': 4760, 'end_idx': 4829, 'score': 9.78736728304441}, {'start_idx': 8265, 'end_idx': 8334, 'score': 1.7014132366236758}]",0,0,1,[],"[(4660, 5079), (8515, 8584)]",1,"[{'start_idx': 4410, 'end_idx': 4479, 'score': 16.08998929749177}, {'start_idx': 4480, 'end_idx': 4549, 'score': 14.2971400096497}, {'start_idx': 4550, 'end_idx': 4619, 'score': 12.328206661211704}, {'start_idx': 4620, 'end_idx': 4689, 'score': 11.237919705443707}, {'start_idx': 4690, 'end_idx': 4759, 'score': 10.412056019000179}, {'start_idx': 4760, 'end_idx': 4829, 'score': 9.78736728304441}, {'start_idx': 8265, 'end_idx': 8334, 'score': 1.7014132366236758}]",SMAP,"[[4319, 8536]]",[point]
2024-03-11_11.04.26,D-3,2620,8380,1,0.059636605838177634,"[{'start_idx': 5110, 'end_idx': 5179, 'score': 2.8922042195755204}, {'start_idx': 5180, 'end_idx': 5249, 'score': 4.343351063464382}, {'start_idx': 5250, 'end_idx': 5319, 'score': 5.646259513405099}, {'start_idx': 5320, 'end_idx': 5389, 'score': 6.107723206565286}, {'start_idx': 5390, 'end_idx': 5459, 'score': 6.530888025903192}, {'start_idx': 5460, 'end_idx': 5529, 'score': 6.842008369748456}, {'start_idx': 5530, 'end_idx': 5599, 'score': 7.020720420114548}, {'start_idx': 5600, 'end_idx': 5669, 'score': 7.066631780241564}, {'start_idx': 5670, 'end_idx': 5739, 'score': 7.055748975365342}, {'start_idx': 5740, 'end_idx': 5809, 'score': 7.055096679873397}]",0,0,1,[],"[(5360, 6059)]",1,"[{'start_idx': 5110, 'end_idx': 5179, 'score': 2.8922042195755204}, {'start_idx': 5180, 'end_idx': 5249, 'score': 4.343351063464382}, {'start_idx': 5250, 'end_idx': 5319, 'score': 5.646259513405099}, {'start_idx': 5320, 'end_idx': 5389, 'score': 6.107723206565286}, {'start_idx': 5390, 'end_idx': 5459, 'score': 6.530888025903192}, {'start_idx': 5460, 'end_idx': 5529, 'score': 6.842008369748456}, {'start_idx': 5530, 'end_idx': 5599, 'score': 7.020720420114548}, {'start_idx': 5600, 'end_idx': 5669, 'score': 7.066631780241564}, {'start_idx': 5670, 'end_idx': 5739, 'score': 7.055748975365342}, {'start_idx': 5740, 'end_idx': 5809, 'score': 7.055096679873397}]",SMAP,"[[5225, 8500]]",[point]
2024-03-11_11.04.26,D-4,2573,8213,1,0.08890475465514841,"[{'start_idx': 5040, 'end_idx': 5109, 'score': 4.476152240932607}, {'start_idx': 5110, 'end_idx': 5179, 'score': 6.309743805216721}, {'start_idx': 5180, 'end_idx': 5249, 'score': 7.19951002785741}, {'start_idx': 5250, 'end_idx': 5319, 'score': 7.636529246396639}, {'start_idx': 5320, 'end_idx': 5389, 'score': 7.7987100984871525}, {'start_idx': 5390, 'end_idx': 5459, 'score': 7.923489790948397}, {'start_idx': 5460, 'end_idx': 5529, 'score': 7.887267818588327}, {'start_idx': 5530, 'end_idx': 5599, 'score': 7.817989488581493}, {'start_idx': 5600, 'end_idx': 5669, 'score': 7.713983677422515}]",0,0,1,[],"[(5290, 5919)]",1,"[{'start_idx': 5040, 'end_idx': 5109, 'score': 4.476152240932607}, {'start_idx': 5110, 'end_idx': 5179, 'score': 6.309743805216721}, {'start_idx': 5180, 'end_idx': 5249, 'score': 7.19951002785741}, {'start_idx': 5250, 'end_idx': 5319, 'score': 7.636529246396639}, {'start_idx': 5320, 'end_idx': 5389, 'score': 7.7987100984871525}, {'start_idx': 5390, 'end_idx': 5459, 'score': 7.923489790948397}, {'start_idx': 5460, 'end_idx': 5529, 'score': 7.887267818588327}, {'start_idx': 5530, 'end_idx': 5599, 'score': 7.817989488581493}, {'start_idx': 5600, 'end_idx': 5669, 'score': 7.713983677422515}]",SMAP,"[[5225, 8472]]",[point]
2024-03-11_11.04.26,A-2,2388,7654,3,0.07846458435655453,"[{'start_idx': 790, 'end_idx': 1095, 'score': 1.9056254053361945}, {'start_idx': 1213, 'end_idx': 1464, 'score': 1.876791160302024}, {'start_idx': 4270, 'end_idx': 4339, 'score': 3.5517472514322863}, {'start_idx': 4340, 'end_idx': 4409, 'score': 3.7143875506544353}]",2,0,1,"[[1040, 1345], [1463, 1714]]","[(4520, 4659)]",1,"[{'start_idx': 790, 'end_idx': 1095, 'score': 1.9056254053361945}, {'start_idx': 1213, 'end_idx': 1464, 'score': 1.876791160302024}, {'start_idx': 4270, 'end_idx': 4339, 'score': 3.5517472514322863}, {'start_idx': 4340, 'end_idx': 4409, 'score': 3.7143875506544353}]",SMAP,"[[4450, 4560]]",[contextual]
2024-03-11_11.04.26,A-3,2476,7945,1,0.04780061113432154,"[{'start_idx': 4340, 'end_idx': 4409, 'score': 3.3012442549604146}, {'start_idx': 4410, 'end_idx': 4479, 'score': 3.7103755899702695}, {'start_idx': 4480, 'end_idx': 4549, 'score': 4.161621023472479}, {'start_idx': 4550, 'end_idx': 4619, 'score': 3.7914285564490546}]",0,0,1,[],"[(4590, 4869)]",1,"[{'start_idx': 4340, 'end_idx': 4409, 'score': 3.3012442549604146}, {'start_idx': 4410, 'end_idx': 4479, 'score': 3.7103755899702695}, {'start_idx': 4480, 'end_idx': 4549, 'score': 4.161621023472479}, {'start_idx': 4550, 'end_idx': 4619, 'score': 3.7914285564490546}]",SMAP,"[[4575, 4760]]",[contextual]
2024-03-11_11.04.26,A-4,2430,7820,2,0.057135192570486625,"[{'start_idx': 822, 'end_idx': 1097, 'score': 1.6160927840127668}, {'start_idx': 4270, 'end_idx': 4339, 'score': 1.9295804207074752}, {'start_idx': 4340, 'end_idx': 4409, 'score': 3.3009389961670688}, {'start_idx': 4410, 'end_idx': 4479, 'score': 3.493075198344355}, {'start_idx': 4480, 'end_idx': 4549, 'score': 2.8863268079861}]",1,0,1,"[[1072, 1347]]","[(4520, 4799)]",1,"[{'start_idx': 822, 'end_idx': 1097, 'score': 1.6160927840127668}, {'start_idx': 4270, 'end_idx': 4339, 'score': 1.9295804207074752}, {'start_idx': 4340, 'end_idx': 4409, 'score': 3.3009389961670688}, {'start_idx': 4410, 'end_idx': 4479, 'score': 3.493075198344355}, {'start_idx': 4480, 'end_idx': 4549, 'score': 2.8863268079861}]",SMAP,"[[4550, 4660]]",[contextual]
2024-03-11_11.04.26,G-1,2560,8209,1,0.07421091801318452,"[{'start_idx': 8050, 'end_idx': 8119, 'score': 2.7756789049094692}]",1,1,0,"[[8300, 8369]]",[],1,"[{'start_idx': 8050, 'end_idx': 8119, 'score': 2.7756789049094692}]",SMAP,"[[4770, 4890]]",[contextual]
